;mCPUE;bootstrapMean;median;Q025;Q975;BiasCQ025;BiasCQ075;sd
116;0.555391076;0.472453986;0.469982784;0.324249865;0.652593897;0.265951747;0.265951747;0.088593788
117;0.106238184;0.13947226;0.135256885;0.068379908;0.247657707;0.02671485;0.02671485;0.044574416
118;0.049662776;0.083292406;0.080031894;0.023848871;0.16039755;0.005800157;0.005800157;0.034589882
119;0.059512988;0.030880839;0.028537818;0.003866771;0.072510875;0;0;0.017257154
120;0.188253953;0.282395908;0.269139023;0.14711978;0.471869725;0.074743771;0.074743771;0.086379748
121;0;0;0;0;0;0;0;0
122;8.175396109;10.13291951;10.04801827;7.386957501;13.16038361;5.813783594;5.813783594;1.487695576
123;6.94994768;7.290099851;7.063212183;3.46228293;12.15958923;2.848090579;2.848090579;2.254563168
124;10.3523952;10.8897097;10.71030448;8.262361922;14.40380237;6.554306077;6.554306077;1.529929212
125;0.716819213;0.885655375;0.821400127;0.602461055;1.788640792;0.547853893;0.547853893;0.271529314
126;0.531705318;0.461715012;0.456837018;0.31713367;0.634498814;0.270228512;0.270228512;0.080154483
127;0.099713692;0.136024964;0.130768612;0.078894877;0.232111194;0.046136232;0.046136232;0.037937794
128;0.084120798;0.082468884;0.083195116;0.029628744;0.143401831;0.012018814;0.012018814;0.029516173
129;0.046200347;0.031333889;0.030495533;0.006605878;0.060624302;1.90179E-16;1.17585E-05;0.014226515
130;0.187582881;0.28261933;0.269097966;0.16435178;0.448436627;0.134273693;0.134273693;0.077741264
131;0;0;0;0;0;0;0;0
132;11.31980734;10.28012545;10.24558677;7.995244068;12.85778375;6.964983512;6.964983512;1.269074491
133;9.128597584;7.325271228;7.095225686;3.867547035;12.17358236;2.367145267;2.367145267;2.098416975
134;9.097886173;10.90623987;10.85777949;8.626482312;13.63377399;7.767404637;7.767404637;1.326916949
135;0.791470618;0.883339254;0.833721174;0.646492946;1.672743821;0.457460642;0.457460642;0.233971194
136;0.519045041;0.468104117;0.461921711;0.348430619;0.627772154;0.302189761;0.302189761;0.067497018
137;0.120653413;0.138437425;0.1360103;0.085646288;0.212730395;0.067867001;0.067867001;0.032646539
138;0.084482493;0.083861696;0.081913111;0.038492035;0.144464419;0.022091189;0.022091189;0.02710519
139;0.046838944;0.031961673;0.031438185;0.010424925;0.062501129;0;0;0.013124216
140;0.322676962;0.282231538;0.269794899;0.165952896;0.441957194;0.127986593;0.127986593;0.072405409
141;0;0;0;0;0;0;0;0
142;7.809151708;6.347093089;5.457236969;1.162761042;15.67837426;0.584358265;0.584358265;3.962779755
143;25.35290189;44.97187863;35.20280453;19.39051534;122.5322814;14.20466797;14.20466797;28.88850275
144;2.932730335;4.077180368;2.940403458;1.011689168;12.25752915;0.520918532;0.520918532;3.234155452
145;0.443271228;2.131216614;1.413200378;0.597018325;8.25340639;0.38987595;0.38987595;2.056676104
146;0.039021658;1.427030081;0.548041136;0.073400201;12.96514381;0.016721;0.016721;3.766760143
147;0.035877375;0.16596189;0.14309449;0;0.41162689;0;0;0.109039943
148;0;0.085273069;0.029726223;0;0.416167123;0;0.089178669;0.123993935
149;0;0;0;0;0;0;0;0
150;0.321697617;0.248481571;0.244216655;0.060265021;0.525257532;0.017938688;0.017938688;0.118674394
151;0;0;0;0;0;0;0;0
152;4.875730034;6.334935255;5.604369527;1.924987231;14.86303566;0.611079615;0.611079615;3.37785446
153;27.77775264;44.09148534;37.19279553;20.68636516;108.4178398;16.95213839;16.95213839;22.43073213
154;1.685020591;3.734351544;2.78816748;1.238846781;10.48406398;0.802391718;0.802391718;2.623585253
155;0.690212052;1.958500723;1.417307038;0.671078603;6.136163746;0.449141123;0.449141123;1.576344345
156;0.602623108;1.431635591;0.560398622;0.175296568;11.580059;0.090375166;0.090375166;3.218044633
157;0.196398641;0.172041021;0.158928561;0.02230869;0.410241242;0;0;0.095733574
158;0;0.076395384;0.041159386;0;0.309099638;0;0.041159386;0.09341679
159;0;0;0;0;0;0;0;0
160;0.145504597;0.237985768;0.229143256;0.076807778;0.451903177;0.040876068;0.040876068;0.098735844
161;0;0;0;0;0;0;0;0
162;3.444881418;6.011616443;5.518203184;2.055080517;12.37211002;1.33637852;1.33637852;2.799950875
163;31.94336953;42.8002029;37.35195856;21.40005146;84.02815695;19.1976184;19.1976184;17.71022109
164;2.539953819;3.531669719;2.85658197;1.45175546;8.874594454;1.233900072;1.233900072;2.059510585
165;1.358853088;1.820644893;1.468901461;0.771891212;4.563758619;0.517535704;0.517535704;1.092450285
166;0.18695404;1.690580427;0.548245027;0.190980289;13.75648157;0.126500099;0.126500099;3.460585032
167;0.085971457;0.178351359;0.167478345;0.040792984;0.383363937;0.008700235;0.008700235;0.088169875
168;0.028161685;0.082110717;0.062949649;0;0.283568365;0;0.021121264;0.080851848
169;0;0;0;0;0;0;0;0
170;0.220476229;0.235646468;0.22445698;0.086665352;0.429539646;0.033690662;0.033690662;0.086635716
171;0;0;0;0;0;0;0;0
172;6.845987398;6.161485871;5.812303892;2.920144933;11.0628164;1.987188835;1.987188835;2.076039442
173;64.10933847;44.1063808;40.53579897;27.80702749;76.57890107;18.75649524;18.75649524;12.99307438
174;5.893182062;3.600766206;3.072821505;1.77791932;7.590810775;1.306100053;1.306100053;1.646515701
175;2.931286512;1.751214417;1.510476669;0.976303262;3.740522758;0.768148431;0.768148431;0.714653715
176;0.400720369;1.442018992;0.595470335;0.310081508;10.91903137;0.207744784;0.207744784;2.770688855
177;0.165906512;0.179582691;0.17210917;0.078621952;0.316981742;0.041625888;0.041625888;0.061572988
178;0.053719629;0.069070702;0.062568905;0;0.176782328;0;0;0.050336582
179;0;0;0;0;0;0;0;0
180;0.245621156;0.239623056;0.236843998;0.132426049;0.388557995;0.065794119;0.065794119;0.062994347
181;0;0;0;0;0;0;0;0
182;4.549188267;6.308573559;6.102639828;3.692934689;9.644376739;2.551859814;2.551859814;1.642573436
183;37.21332001;44.40996592;42.09676185;28.1519199;70.14339366;20.75444045;20.75444045;11.21629648
184;2.515026813;3.36073913;3.071680201;1.879635855;6.750626135;1.639797389;1.639797389;1.245283215
185;1.087877539;1.638780286;1.545713905;0.989653127;2.861757624;0.848051401;0.848051401;0.507546746
186;0.691255953;1.027357898;0.653396987;0.304615048;7.924805776;0.246157604;0.246157604;1.854479519
187;0.120236993;0.179775336;0.178489627;0.088411232;0.297814917;0.043450122;0.043450122;0.054708318
188;0.022067185;0.076467025;0.069522363;0.007431556;0.187974753;0;0;0.045860578
189;0;0;0;0;0;0;0;0
190;0.21959354;0.227263386;0.228069378;0.132261978;0.326975474;0.102163402;0.102163402;0.051852568
191;0;0;0;0;0;0;0;0
192;4.964323172;6.285597473;6.176788489;3.747229063;9.674040503;2.826185898;2.826185898;1.547371593
193;36.95805479;44.77435604;43.35980854;30.7714956;66.87407544;25.99211673;25.99211673;9.560000204
194;2.662987028;3.37124443;3.087254586;2.028578373;6.314830163;1.647607903;1.647607903;1.115738485
195;1.178387465;1.662276357;1.550012963;1.105353684;2.826370779;0.92734763;0.92734763;0.446714749
196;0.555057676;0.928642704;0.718144058;0.351481975;6.083042659;0.236718108;0.236718108;1.363313052
197;0.172607649;0.181057228;0.180270633;0.111763164;0.272170012;0.08727993;0.08727993;0.041366022
198;0.010005412;0.074054229;0.066849628;0.017925487;0.154639333;9.48823E-16;5.86644E-05;0.036577774
199;0;0;0;0;0;0;0;0
200;0.20045033;0.227097906;0.225626377;0.151617946;0.32013872;0.122225738;0.122225738;0.042791217
201;0;0;0;0;0;0;0;0
202;8.632931918;6.30152782;6.156442921;4.075872406;9.358343348;2.846879384;2.846879384;1.386096346
203;55.1139035;45.22702362;43.49795463;32.32805307;68.56112426;25.67797205;25.67797205;9.336023519
204;4.935804496;3.356111236;3.142805878;2.050482487;5.58465677;1.769241956;1.769241956;0.973828077
205;2.133339153;1.630709547;1.548950754;1.107267248;2.630037103;0.973269345;0.973269345;0.414217377
206;0.800040529;0.786822;0.728654964;0.380535554;0.985431546;0.307590336;0.307590336;0.906921196
207;0.162246007;0.178360497;0.174122617;0.111882194;0.262255;0.058290722;0.058290722;0.039390613
208;0.01929728;0.072113272;0.068736309;0.017115235;0.145828576;0.005437724;0.005437724;0.032941025
209;0;0;0;0;0;0;0;0
210;0.252677517;0.225324223;0.221195057;0.148216821;0.307987453;0.12168715;0.12168715;0.040025562
211;0;0;0;0;0;0;0;0
212;7.611911575;6.552676797;5.525438834;1.246700239;17.42232301;0.20401709;0.20401709;4.280694996
213;25.59859968;43.46058597;34.65084079;19.32516063;115.7290583;12.78202584;12.78202584;25.96380754
214;2.856702363;4.004353507;2.971138687;1.088640871;12.8013927;0.358562031;0.358562031;3.252377598
215;0.470841549;2.021365989;1.434313396;0.648391159;7.676553129;0.43940725;0.43940725;1.88215997
216;0.039021658;1.14025551;0.516479744;0.08774114;9.780390938;0;0;2.903262112
217;0.035877375;0.17835124;0.156277256;0;0.476973792;0;0;0.125015542
218;0;0.077938235;0.027912221;0;0.374550411;0;0.080552152;0.111633715
219;0;0;0;0;0;0;0;0
220;0.321697617;0.234683439;0.219478966;0.04063976;0.47677842;0.020630647;0.020630647;0.114470754
221;0;0;0;0;0;0;0;0
222;5.186275515;6.338618582;5.754025304;1.976164685;14.15029587;0.746757004;0.746757004;3.314958842
223;27.43109661;43.39930907;36.29608716;22.56255574;95.91414675;17.39001628;17.39001628;21.22144938
224;1.721131148;3.692310077;2.969828873;1.265581535;9.805616792;0.603977169;0.603977169;2.320315091
225;0.731104263;1.886162044;1.437007376;0.740814086;5.618355939;0.407919195;0.407919195;1.384561711
226;0.582177002;1.230784707;0.578373636;0.15950031;10.63827311;0.020446105;0.020446105;2.621912973
227;0.175952536;0.181845321;0.161737095;0.030669158;0.436002727;0;0;0.106789765
228;0;0.083603617;0.041159386;0;0.336873866;0;0.041159386;0.100057751
229;0;0;0;0;0;0;0;0
230;0.145504597;0.245407249;0.232652671;0.094711824;0.442801161;0.043866492;0.043866492;0.0969532
231;0;0;0;0;0;0;0;0
232;3.501183596;6.341165134;5.751199032;2.188086599;13.18033799;1.079552277;1.079552277;2.881054631
233;31.82521939;43.29475382;37.16476354;21.69461061;86.53220108;18.590232;18.590232;17.96457606
