;Year;Quarter;Haul;Age;Count
224;2018;1;2018:1:SWE:DANS:GOV:2:1;2;1
225;2018;1;2018:1:SWE:DANS:GOV:25:6;2;2
226;2018;1;2018:1:SWE:DANS:GOV:27:7;2;7
227;2018;1;2018:1:SWE:DANS:GOV:28:8;2;2
228;2018;1;2018:1:SWE:DANS:GOV:31:9;2;1
229;2018;1;2018:1:SWE:DANS:GOV:4:2;2;4
230;2018;1;2018:1:SWE:DANS:GOV:42:10;2;7
231;2018;1;2018:1:SWE:DANS:GOV:44:11;2;17
232;2018;1;2018:1:SWE:DANS:GOV:46:12;2;16
233;2018;1;2018:1:SWE:DANS:GOV:47:13;2;1
234;2018;1;2018:1:SWE:DANS:GOV:57:14;2;3
235;2018;1;2018:1:SWE:DANS:GOV:58:15;2;9
236;2018;1;2018:1:SWE:DANS:GOV:60:16;2;16
237;2018;1;2018:1:SWE:DANS:GOV:63:18;2;1
238;2018;1;2018:1:SWE:DANS:GOV:77:19;2;27
239;2018;1;2018:1:SWE:DANS:GOV:78:20;2;5
240;2018;1;2018:1:SWE:DANS:GOV:80:21;2;3
241;2018;1;2018:1:SWE:DANS:GOV:83:22;2;4
242;2018;1;2018:1:SWE:DANS:GOV:84:23;2;2
243;2018;1;2018:1:SWE:DANS:GOV:86:24;2;3
244;2018;1;2018:1:SWE:DANS:GOV:88:25;2;3
245;2018;1;2018:1:SWE:DANS:GOV:95:26;2;1
246;2018;1;2018:1:SWE:DANS:GOV:97:27;2;4
247;2018;1;2018:1:SWE:DANS:GOV:98:28;2;9
248;2018;1;2018:1:SWE:DANS:GOV:99:29;2;9
249;2018;3;2018:3:DEN:DAN2:GOV:121:25;3;1
250;2018;3;2018:3:DEN:DAN2:GOV:20:4;3;1
251;2018;3;2018:3:DEN:DAN2:GOV:234:48;3;5
252;2018;3;2018:3:DEN:DAN2:GOV:237:50;3;2
253;2018;3;2018:3:DEN:DAN2:GOV:50:9;3;4
254;2018;3;2018:3:DEN:DAN2:GOV:53:11;3;1
255;2018;3;2018:3:ENG:END:GOV:13:23;3;1
256;2018;3;2018:3:ENG:END:GOV:56:121;3;1
257;2018;3;2018:3:ENG:END:GOV:59:155;3;1
258;2018;3;2018:3:ENG:END:GOV:60:154;3;3
259;2018;3;2018:3:ENG:END:GOV:62:129;3;1
260;2018;3;2018:3:ENG:END:GOV:63:128;3;4
261;2018;3;2018:3:ENG:END:GOV:64:127;3;2
262;2018;3;2018:3:ENG:END:GOV:65:126;3;1
263;2018;3;2018:3:ENG:END:GOV:66:145;3;1
264;2018;3;2018:3:ENG:END:GOV:71:144;3;1
265;2018;3;2018:3:ENG:END:GOV:74:138;3;2
