;Year;Quarter;Bootstrap;ALK;age;mCPUE;boostrapMean;median;Q025;Q975;L;U;sd;RSE;Width CI-95
82;2017;Q3;Stratified;haul based;4;1,152415483;1,126593295;1,127136207;0,935071314;1,32860803;0,984397785;1,366038548;0,103613239;0,089909621;0,381640763
83;2017;Q3;Stratified;haul based;5;0,688667291;0,651370553;0,651925535;0,460447126;0,8623911;0,506079772;0,887121637;0,105210469;0,152774017;0,381041864
84;2017;Q3;Stratified;haul based;6+;0,285104448;0,278287181;0,278785745;0,232600603;0,321880878;0,243353983;0,329354382;0,023580527;0,082708379;0,0860004
85;2016;Q1;ICES-IBTS;area based;0;0;0;0;0;0;0;0;0;#N/A;0
86;2016;Q1;ICES-IBTS;area based;1;1,432581467;1,46997336;1,45842081;1,026617793;1,987089438;1,00057432;1,940083905;0,254854053;0,177898471;0,939509585
87;2016;Q1;ICES-IBTS;area based;2;4,07860604;4,199209901;4,079610272;2,841670102;6,241188461;2,835560296;6,227022203;0,851530946;0,208779896;3,391461906
88;2016;Q1;ICES-IBTS;area based;3;6,145368303;6,266693585;6,227293909;4,251659631;8,505644831;4,151531382;8,302878765;1,040466885;0,169309118;4,151347383
89;2016;Q1;ICES-IBTS;area based;4;2,717526316;2,834132896;2,800344975;2,060794641;3,775693013;2,005805805;3,618759903;0,456959369;0,168152693;1,612954098
90;2016;Q1;ICES-IBTS;area based;5;0,912162627;0,944425478;0,925360985;0,674492587;1,280776061;0,659568847;1,244441117;0,162872298;0,178556206;0,58487227
91;2016;Q1;ICES-IBTS;area based;6+;0,655951973;0,589883109;0,581827731;0,398282805;0,822113437;0,52400758;0,98946551;0,107552329;0,163963725;0,465457929
92;2016;Q1;Modified-ICES;area based;0;0;0;0;0;0;0;0;0;#N/A;0
93;2016;Q1;Modified-ICES;area based;1;1,432581467;1,386769988;1,382018058;1,134777612;1,674043763;1,192880102;1,764369236;0,141750069;0,098947301;0,571489133
94;2016;Q1;Modified-ICES;area based;2;4,07860604;4,00659532;3,963307373;2,889752026;5,343084638;3,039290887;5,658112058;0,656186704;0,160885042;2,61882117
95;2016;Q1;Modified-ICES;area based;3;6,145368303;6,074676934;6,124505797;4,933049186;7,178399043;4,99861022;7,249674287;0,565614151;0,092039097;2,251064067
96;2016;Q1;Modified-ICES;area based;4;2,717526316;2,640970818;2,658938282;2,054126298;3,199862245;2,193957704;3,262805238;0,292069811;0,10747635;1,068847534
97;2016;Q1;Modified-ICES;area based;5;0,912162627;0,935712514;0,93344846;0,755005111;1,119713956;0,708501761;1,062841208;0,09529504;0,104471547;0,354339447
98;2016;Q1;Modified-ICES;area based;6+;0,655951973;0,628235504;0,625654799;0,46339;0,835971829;0,515865474;0,876956882;0,093644421;0,142761093;0,361091408
99;2016;Q1;Stratified;haul based;0;0;0;0;0;0;0;0;0;#N/A;0
100;2016;Q1;Stratified;haul based;1;1,430402461;1,38336204;1,378781191;1,131059902;1,672322885;1,194223163;1,760547208;0,141714237;0,099072982;0,566324045
101;2016;Q1;Stratified;haul based;2;4,10356031;4,041775743;4,011552077;2,863867486;5,487679687;3,007786403;5,830060799;0,699456052;0,170451023;2,822274397
102;2016;Q1;Stratified;haul based;3;6,095739914;5,973281751;6,023612095;4,889662517;7,039392705;4,98745935;7,112401773;0,5541223;0,090903206;2,124942423
103;2016;Q1;Stratified;haul based;4;2,694432798;2,665116937;2,672899149;2,066897485;3,198893803;2,138803218;3,245239458;0,289474243;0,107434204;1,106436239
104;2016;Q1;Stratified;haul based;5;0,95733967;0,978634515;0,979221268;0,781352591;1,17640469;0,746305187;1,122214928;0,101935272;0,106477644;0,375909741
105;2016;Q1;Stratified;haul based;6+;0,660721573;0,630790092;0,625660152;0,453255695;0,834216622;0,521239027;0,880235479;0,095174255;0,144045932;0,358996452
106;2016;Q3;ICES-IBTS;area based;0;11,11245644;11,73197533;11,48302605;7,098063315;17,47158704;6,687876375;16,48660851;2,662292233;0,239577293;9,798732139
107;2016;Q3;ICES-IBTS;area based;1;3,151900865;3,172477931;3,086332415;2,017907404;4,683694625;2,054303652;4,746913588;0,70060846;0,222281249;2,692609936
108;2016;Q3;ICES-IBTS;area based;2;4,650851131;3,479891245;3,31750346;2,392606517;5,160652079;4,248670842;6,717904517;0,712318371;0,153158712;2,469233675
